"Name","Hometown","Year","Sport"
"Austin Marozas","Plainfield, Ill.",2022,"baseball"
"Kyle Brown","Columbia, Mo.",2022,"baseball"
"Christian Wall","Wentzville, Mo.",2022,"baseball"
"Kyle Potthoff","Chesterfield, Mo.",2022,"baseball"
"Trae Robertson","Columbia, Mo.",2022,"baseball"
"Tony Neubeck","Hugo, Minn.",2022,"baseball"
"Brenner Maloney","Liberty, Mo.",2022,"baseball"
"Cam Careswell","Lee's Summit, Mo.",2022,"baseball"
"Austin Cheeley","St. Louis, Mo.",2022,"baseball"
"Ray Schroeder","Columbia, Mo.",2022,"baseball"
"Sam Bryan","St. Louis, Mo.",2022,"baseball"
"Juju Stevens","Woodbridge, Conn.",2023,"baseball"
"Dylan Leach","Carthage, Texas",2023,"baseball"
"Tre Morris","Columbia, Mo.",2023,"baseball"
"Matt Garcia","Orlando, Fla.",2023,"baseball"
"Brock Daniels","St. Louis, Mo.",2023,"baseball"
"Cam Chick","Columbia, Mo.",2023,"baseball"
"Ross Lovich","Overland Park, Kan.",2023,"baseball"
"Zach Franklin","Marion, N.C.",2023,"baseball"
"Ty Wilmsmeyer","Springfield, Mo.",2023,"baseball"
"Jackson Beaman","Lincoln, Mo.",2023,"baseball"
"Luke  Mann","St. Louis, Mo.",2023,"baseball"
"Justin Colon","Carolina, Puerto Rico",2023,"baseball"
"Rorik Maltrud","Austin, Texas",2023,"baseball"
"Isaiah Frost","Lee's Summit, Mo.",2023,"baseball"
"Ben Pedersen","Duluth, Minn.",2023,"baseball"
"Jackson Lovich","Overland Park, Kan.",2023,"baseball"
"Trevor Austin","Jefferson City, Mo.",2023,"baseball"
"Sam Horn","Lawrenceville, Ga.",2023,"baseball"
"Chandler Murphy","Peoria, Ariz.",2023,"baseball"
"Ian Lohse","St. Louis, Mo.",2023,"baseball"
"Austin Troesser","Loose Creek, Mo.",2023,"baseball"
"Jacob Hasty","Keller, Texas",2023,"baseball"
"Carlos Peña","Bayside, N.Y.",2023,"baseball"
"Tucker Moore","Castle Rock, Colo.",2023,"baseball"
"Carter Rustad","Kansas City, Mo.",2023,"baseball"
"Daniel Wissler","O'Fallon, Mo.",2023,"baseball"
"Parker Wright","Columbia, Mo.",2023,"baseball"
"Brock Lucas","St. Elizabeth, Mo.",2023,"baseball"
"Bryce Mayer","Marthasville, Mo.",2023,"baseball"
"Hank Zeisler","Kentfield, Calif.",2023,"baseball"
"Nic Smith","Jamestown, Tenn.",2023,"baseball"
"Javyn Pimental","Kane'ohe, Hawai'i",2023,"baseball"
"Aiden Heberlie","St. Genevieve, Mo.",2023,"baseball"
"Kyle Potthoff","Chesterfield, Mo.",2023,"baseball"
"Logan Lunceford","Edmond, Okla.",2023,"baseball"
"Tony Neubeck","Hugo, Minn.",2023,"baseball"
"Dalton Bargo","Omaha, Neb.",2023,"baseball"
"Jack Mosh","Kansas City, Mo.",2023,"baseball"
"Cam Careswell","Lee's Summit, Mo.",2023,"baseball"
"Maddie  Gallagher","Port Washington, N.Y.",2013,"softball"
"Madison Walker","Olathe, Kan.",2013,"softball"
"Jenna Laird","East Meadow, N.Y.",2013,"softball"
